    # Stuff for 030723
    2.460   18.64  5
    4.84    19.79  5    

# Stuff for 041006
 
#0.06416 16.8 1
0.06416 17.2 1

0.290050     17.36024  1
0.352079     17.47565  1
0.490206     17.60581  1
0.683999     17.77581  1
0.877778     18.00488  1
1.032692     18.22173  1
#1.117876     19.05698  1
1.171532     18.63570  1
1.294315     18.49500  1
1.448445     18.65933  1
2.057711     18.68542  1
2.251476     18.94978  1
#2.445285     18.76897  1
#2.638924     18.70421  1
2.832562     18.92755  1
3.026300     19.00982  1

#7.61448 19.4 1
#13.3778 20.76 1
7.61448 19.8 1
13.3778 21.16 1






# stuff for 040924

0.26277778 18.0 8
0.43611111 18.3 8
0.83277778 18.87 8
1.05277778 19.2 8
6.7        21.4 8

