IGM HI transmissions exp(-tau) (HeI and HeII not included!). Please
reference: Meiksin A., 2005, MNRAS, 365, 807 in any publications using these results.
-------------------------------------------------------------------------------------
lam (A)  z=1.5    z=2.0    z=2.5    z=3.0    z=3.5    z=4.0    z=4.5    z=5.0    z=5.5    z=6.0    z=6.5    z=7.0
1792.0 0.344357 0.151526 0.071949 0.035699 0.018204 0.009451 0.004967 0.002633 0.001405 0.000753 0.000405 0.000218
1793.0 0.344746 0.151563 0.071913 0.035658 0.018172 0.009428 0.004952 0.002624 0.001399 0.000749 0.000403 0.000217
1794.0 0.345137 0.151601 0.071877 0.035616 0.018139 0.009406 0.004938 0.002615 0.001393 0.000746 0.000401 0.000216
1795.0 0.345529 0.151639 0.071842 0.035575 0.018107 0.009384 0.004923 0.002606 0.001388 0.000743 0.000399 0.000215
1796.0 0.345922 0.151678 0.071806 0.035534 0.018075 0.009362 0.004909 0.002597 0.001382 0.000739 0.000397 0.000213
1797.0 0.346318 0.151717 0.071771 0.035493 0.018043 0.009339 0.004894 0.002588 0.001377 0.000736 0.000395 0.000212
1798.0 0.346715 0.151756 0.071736 0.035452 0.018011 0.009317 0.004880 0.002579 0.001371 0.000732 0.000393 0.000211
1799.0 0.347114 0.151796 0.071702 0.035411 0.017979 0.009295 0.004866 0.002570 0.001366 0.000729 0.000391 0.000210
1800.0 0.347514 0.151837 0.071667 0.035370 0.017947 0.009273 0.004852 0.002561 0.001360 0.000726 0.000389 0.000209
1801.0 0.347917 0.151878 0.071633 0.035329 0.017915 0.009251 0.004837 0.002552 0.001355 0.000723 0.000387 0.000208
1802.0 0.348320 0.151919 0.071598 0.035289 0.017883 0.009230 0.004823 0.002543 0.001349 0.000719 0.000385 0.000206
1803.0 0.348726 0.151961 0.071564 0.035248 0.017852 0.009208 0.004809 0.002534 0.001344 0.000716 0.000383 0.000205
1804.0 0.349133 0.152003 0.071531 0.035208 0.017820 0.009186 0.004795 0.002525 0.001338 0.000713 0.000381 0.000204
1805.0 0.349542 0.152046 0.071497 0.035168 0.017789 0.009165 0.004781 0.002516 0.001333 0.000709 0.000379 0.000203
1806.0 0.349953 0.152089 0.071464 0.035128 0.017758 0.009143 0.004767 0.002508 0.001328 0.000706 0.000377 0.000202
1807.0 0.350365 0.152132 0.071430 0.035088 0.017726 0.009122 0.004753 0.002499 0.001322 0.000703 0.000375 0.000201
1808.0 0.350779 0.152176 0.071397 0.035048 0.017695 0.009100 0.004739 0.002490 0.001317 0.000700 0.000373 0.000200
1809.0 0.351195 0.152221 0.071365 0.035008 0.017664 0.009079 0.004726 0.002482 0.001312 0.000697 0.000371 0.000198
1810.0 0.351612 0.152266 0.071332 0.034969 0.017633 0.009058 0.004712 0.002473 0.001306 0.000693 0.000369 0.000197
1811.0 0.352032 0.152311 0.071299 0.034929 0.017602 0.009036 0.004698 0.002464 0.001301 0.000690 0.000368 0.000196
1812.0 0.352453 0.152357 0.071267 0.034890 0.017571 0.009015 0.004684 0.002456 0.001296 0.000687 0.000366 0.000195
1813.0 0.352875 0.152403 0.071235 0.034851 0.017541 0.008994 0.004671 0.002447 0.001291 0.000684 0.000364 0.000194
1814.0 0.353300 0.152450 0.071203 0.034812 0.017510 0.008973 0.004657 0.002439 0.001286 0.000681 0.000362 0.000193
1815.0 0.353726 0.152497 0.071171 0.034773 0.017480 0.008952 0.004644 0.002431 0.001280 0.000678 0.000360 0.000192
1816.0 0.354154 0.152545 0.071140 0.034734 0.017449 0.008931 0.004630 0.002422 0.001275 0.000675 0.000358 0.000191
1817.0 0.354584 0.152593 0.071108 0.034695 0.017419 0.008910 0.004617 0.002414 0.001270 0.000672 0.000357 0.000190
1818.0 0.355015 0.152642 0.071077 0.034657 0.017388 0.008890 0.004603 0.002405 0.001265 0.000669 0.000355 0.000189
1819.0 0.355449 0.152691 0.071046 0.034618 0.017358 0.008869 0.004590 0.002397 0.001260 0.000666 0.000353 0.000188
1820.0 0.355884 0.152740 0.071016 0.034580 0.017328 0.008848 0.004577 0.002389 0.001255 0.000663 0.000351 0.000187
1821.0 0.356321 0.152790 0.070985 0.034541 0.017298 0.008828 0.004563 0.002381 0.001250 0.000660 0.000349 0.000186
1822.0 0.356759 0.152841 0.070955 0.034503 0.017268 0.008807 0.004550 0.002372 0.001245 0.000657 0.000348 0.000185
